TIME,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
4.318912,0.153063,0.170365,0.231652,0.369077,0.966687,1.000000,0.684363,0.718006,0.920022,0.526337,0.193998,0.212095
4.342132,0.182480,0.186898,0.247490,0.393611,0.952088,1.000000,0.702952,0.710766,0.912540,0.529554,0.205622,0.240794
4.365351,0.227753,0.232370,0.302263,0.444220,0.960634,1.000000,0.728211,0.713055,0.922602,0.612306,0.311329,0.302765
4.388571,0.324775,0.301276,0.358657,0.511994,0.945391,1.000000,0.722584,0.689866,0.869597,0.632323,0.355166,0.343766
4.411791,0.298179,0.237768,0.272233,0.443263,0.920329,1.000000,0.712583,0.665646,0.867532,0.587042,0.303197,0.330524
4.435011,0.318449,0.223376,0.257051,0.469958,0.977501,1.000000,0.716478,0.681146,0.906461,0.598982,0.335080,0.357057
4.458231,0.350531,0.240844,0.243911,0.420163,0.930261,1.000000,0.668893,0.661689,0.925748,0.602018,0.317904,0.366558
4.481451,0.361811,0.228804,0.234000,0.395466,0.924349,1.000000,0.598862,0.665612,0.923722,0.605697,0.279702,0.358242
4.504671,0.289499,0.224094,0.246804,0.339564,0.906251,1.000000,0.539659,0.601270,0.888396,0.589778,0.271039,0.324337
4.527891,0.268382,0.204384,0.223132,0.310149,0.873508,1.000000,0.460937,0.556634,0.868037,0.590167,0.253744,0.298330
4.551111,0.257522,0.183101,0.210826,0.306121,0.924072,1.000000,0.440216,0.522613,0.848623,0.617305,0.231359,0.273611
4.574331,0.221271,0.170774,0.224498,0.302062,0.950407,1.000000,0.400124,0.485014,0.803183,0.596351,0.226990,0.240193
4.597551,0.198428,0.160780,0.203086,0.298589,0.999728,1.000000,0.347189,0.432576,0.770334,0.595274,0.235007,0.208761
4.620771,0.163936,0.145620,0.175161,0.283739,1.000000,0.952627,0.310056,0.377298,0.701316,0.570340,0.232732,0.162571
4.643991,0.141348,0.129067,0.155211,0.285580,1.000000,0.921355,0.274659,0.334034,0.646739,0.543767,0.217520,0.141878
4.667211,0.135057,0.116678,0.146379,0.281227,1.000000,0.890131,0.247994,0.306364,0.605449,0.523852,0.211600,0.122371
4.690431,0.121795,0.105088,0.131470,0.274687,1.000000,0.854316,0.233279,0.283061,0.565300,0.505998,0.205944,0.101651
4.713651,0.106056,0.089414,0.117585,0.270566,1.000000,0.815987,0.230622,0.261627,0.517633,0.485490,0.202576,0.089350
4.736871,0.089852,0.075181,0.106807,0.268302,1.000000,0.773755,0.238975,0.239979,0.461879,0.460520,0.190135,0.077460
4.760091,0.074017,0.060685,0.091518,0.263645,1.000000,0.728140,0.252675,0.222492,0.407689,0.432026,0.178967,0.065112
4.783311,0.060242,0.048903,0.080576,0.251149,1.000000,0.678214,0.275580,0.212500,0.356031,0.402845,0.173524,0.057297
4.806531,0.053252,0.042510,0.068913,0.235457,1.000000,0.628300,0.301340,0.215919,0.317390,0.370482,0.164986,0.057479
4.829751,0.050409,0.043026,0.064873,0.215866,1.000000,0.583947,0.334693,0.234647,0.297473,0.339724,0.162500,0.063528
4.852971,0.054981,0.045057,0.067709,0.193126,1.000000,0.585354,0.377959,0.266983,0.321899,0.312552,0.169457,0.072319
4.876190,0.064298,0.054458,0.077566,0.176671,1.000000,0.624445,0.428057,0.311772,0.377698,0.289625,0.175520,0.092233
4.899410,0.078837,0.068220,0.094862,0.177008,1.000000,0.688550,0.491807,0.369734,0.463264,0.282964,0.185508,0.117468
